0,1,2,3,4,5
-0.856755,-0.994729,-0.025805,-0.898649,0.366479,0.000000
-0.219152,0.315646,-1.201335,0.937027,0.581506,2.000000
-0.219152,0.315646,-1.201335,0.937027,0.581506,2.000000
-0.219152,0.315646,-1.201335,0.937027,0.581506,2.000000
-0.219152,0.315646,-1.201335,0.937027,0.581506,2.000000
-0.219152,0.315646,-1.201335,0.937027,0.581506,2.000000
0.690282,-0.407458,-0.125598,0.053232,-0.686205,0.000000
-1.334098,-0.417790,0.685476,-0.670948,0.106247,0.000000
-0.316755,-0.577795,1.036075,0.063497,0.464927,0.000000
0.562623,1.938075,-0.936468,0.036652,-0.325594,3.000000
0.562623,1.938075,-0.936468,0.036652,-0.325594,3.000000
0.562623,1.938075,-0.936468,0.036652,-0.325594,3.000000
0.562623,1.938075,-0.936468,0.036652,-0.325594,3.000000
0.530160,0.012151,0.717831,1.170886,-1.042075,0.000000
-0.461529,-0.885042,-0.620596,-0.481380,-0.680326,0.000000
1.532420,0.198764,-1.496191,0.299541,1.924154,2.000000
1.532420,0.198764,-1.496191,0.299541,1.924154,2.000000
1.532420,0.198764,-1.496191,0.299541,1.924154,2.000000
1.532420,0.198764,-1.496191,0.299541,1.924154,2.000000
1.532420,0.198764,-1.496191,0.299541,1.924154,2.000000
1.532420,0.198764,-1.496191,0.299541,1.924154,2.000000
-0.431502,1.612385,0.916230,0.315543,-0.027436,4.000000
-0.431502,1.612385,0.916230,0.315543,-0.027436,4.000000
-0.431502,1.612385,0.916230,0.315543,-0.027436,4.000000
-0.431502,1.612385,0.916230,0.315543,-0.027436,4.000000
-0.431502,1.612385,0.916230,0.315543,-0.027436,4.000000
-0.431502,1.612385,0.916230,0.315543,-0.027436,4.000000
-0.431502,1.612385,0.916230,0.315543,-0.027436,4.000000
-0.431502,1.612385,0.916230,0.315543,-0.027436,4.000000
-0.431502,1.612385,0.916230,0.315543,-0.027436,4.000000
-0.431502,1.612385,0.916230,0.315543,-0.027436,4.000000
-0.431502,1.612385,0.916230,0.315543,-0.027436,4.000000
-0.431502,1.612385,0.916230,0.315543,-0.027436,4.000000
-0.431502,1.612385,0.916230,0.315543,-0.027436,4.000000
-0.431502,1.612385,0.916230,0.315543,-0.027436,4.000000
-0.431502,1.612385,0.916230,0.315543,-0.027436,4.000000
-1.292451,-0.067754,-0.044823,-1.179648,-1.091553,0.000000
0.213833,-1.072782,-0.712519,-0.545755,-0.318117,0.000000
-0.387767,0.015925,-0.182982,0.553061,-0.199093,1.000000
-0.387767,0.015925,-0.182982,0.553061,-0.199093,1.000000
-0.387767,0.015925,-0.182982,0.553061,-0.199093,1.000000
-0.387767,0.015925,-0.182982,0.553061,-0.199093,1.000000
0.295782,-1.076193,-1.185075,-0.809371,-0.472745,0.000000
-0.021112,-1.670955,-0.125915,-1.253980,2.286371,0.000000
0.905137,-0.891853,-0.454722,0.929348,0.206075,1.000000
0.905137,-0.891853,-0.454722,0.929348,0.206075,1.000000
0.905137,-0.891853,-0.454722,0.929348,0.206075,1.000000
0.905137,-0.891853,-0.454722,0.929348,0.206075,1.000000
-0.306058,-1.106061,-0.071503,-0.450272,-0.133813,0.000000
-0.802047,0.801521,-0.062542,0.574490,1.436427,4.000000
-0.802047,0.801521,-0.062542,0.574490,1.436427,4.000000
